year,admission_type,department,quota,competition_rate,waitlist_rank,cut_50,cut_70,subjects
2025,수시 지역균형전형,인문계열,28,3.75,3,1.33,1.40,전과목
2025,수시 지역균형전형,역사학부,9,2.44,1,1.36,1.43,전과목
2025,수시 지역균형전형,정치외교학부,17,2.59,0,1.11,1.21,전과목
2025,수시 지역균형전형,경제학부,7,3.14,0,1.09,1.11,전과목
2025,수시 지역균형전형,사회학과,6,4.0,1,1.09,1.12,전과목
2025,수시 지역균형전형,심리학과,6,2.83,1,1.09,1.26,전과목
2025,수시 지역균형전형,지리학과,6,2.33,0,1.39,1.39,전과목
2025,수시 지역균형전형,사회복지학과,6,4.0,0,1.22,1.32,전과목
2025,수시 지역균형전형,수리과학부,7,3.14,0,1.17,1.18,전과목
2025,수시 지역균형전형,통계학과,6,4.33,0,1.13,1.15,전과목
2025,수시 지역균형전형,물리·천문학부 물리학전공,8,4.0,0,1.21,1.24,전과목
2025,수시 지역균형전형,화학부,7,4.43,1,1.18,1.39,전과목
2025,수시 지역균형전형,생명과학부,7,11.86,1,1.16,1.18,전과목
2025,수시 지역균형전형,지구환경과학부,5,4.2,2,1.22,1.39,전과목
2025,수시 지역균형전형,간호대학,10,6.6,1,1.53,1.60,전과목
2025,수시 지역균형전형,경영대학,26,2.92,0,1.16,1.22,전과목
2025,수시 지역균형전형,건설환경공학부,8,3.38,0,1.19,1.21,전과목
2025,수시 지역균형전형,기계공학부,16,4.25,5,1.25,1.30,전과목
2025,수시 지역균형전형,재료공학부,15,3.07,0,1.21,1.25,전과목
2025,수시 지역균형전형,전기·정보공학부,11,4.45,0,1.06,1.10,전과목
2025,수시 지역균형전형,컴퓨터공학부,6,5.83,0,1.09,1.11,전과목
2025,수시 지역균형전형,화학생물공학부,12,4.42,3,1.26,1.30,전과목
2025,수시 지역균형전형,건축학과,8,4.13,0,1.28,1.32,전과목
2025,수시 지역균형전형,산업공학과,4,8.5,0,1.28,1.28,전과목
2025,수시 지역균형전형,에너지자원공학과,5,4.0,0,1.15,1.27,전과목
2025,수시 지역균형전형,원자핵공학과,9,4.67,1,1.14,1.28,전과목
2025,수시 지역균형전형,조선해양공학과,6,4.5,0,1.52,1.54,전과목
2025,수시 지역균형전형,항공우주공학과,4,3.5,0,1.18,1.18,전과목
2025,수시 지역균형전형,농경제사회학부,11,4.64,0,1.23,1.23,전과목
2025,수시 지역균형전형,식물생산과학부,6,5.83,2,1.33,1.34,전과목
2025,수시 지역균형전형,산림과학부,5,4.0,2,1.44,1.53,전과목
2025,수시 지역균형전형,식품·동물생명공학부,6,5.5,1,1.43,1.48,전과목
2025,수시 지역균형전형,응용생물화학부,9,7.78,5,1.19,1.23,전과목
2025,수시 지역균형전형,조경·지역시스템공학부,5,4.6,1,1.42,1.46,전과목
2025,수시 지역균형전형,바이오시스템·소재학부,7,7.14,2,1.35,1.37,전과목
2025,수시 지역균형전형,스마트시스템과학과,4,9.0,1,1.40,1.40,전과목
2025,수시 지역균형전형,국어교육과,5,3.6,0,1.14,1.14,전과목
2025,수시 지역균형전형,영어교육과,4,2.5,0,1.13,1.13,전과목
2025,수시 지역균형전형,독어교육과,4,1.5,1,1.28,1.28,전과목
2025,수시 지역균형전형,불어교육과,5,1.4,0,1.55,1.55,전과목
2025,수시 지역균형전형,사회교육과,5,2.4,0,1.20,1.31,전과목
2025,수시 지역균형전형,역사교육과(*),5,1.0,0,-,-,전과목
2025,수시 지역균형전형,지리교육과,5,1.4,0,1.37,1.37,전과목
2025,수시 지역균형전형,윤리교육과,3,2.33,1,-,-,전과목
2025,수시 지역균형전형,수학교육과,4,3.75,0,1.10,1.10,전과목
2025,수시 지역균형전형,물리교육과,3,4.0,0,-,-,전과목
